HEADING,LOCA_ID,LOCA_TYPE,LOCA_STAT,LOCA_NATE,LOCA_NATN,LOCA_GL,LOCA_REM,LOCA_FDEP,LOCA_STAR,LOCA_PURP,LOCA_TERM,LOCA_ENDD,LOCA_DATM,LOCA_LAT,LOCA_LON,LOCA_LLZ,LOCA_WDEP
DATA,HKW061-PCPT-A,SCP,Final,548772.53,5833391.76,,"",53.91,2019-05-21,"","","","","","","",30.0
DATA,HKW062-PCPT,SCP,Final,551554.67,5832868.46,,"",54.69,2019-05-21,"","","","","","","",28.0
DATA,HKW062-SCPT,SCP,Final,551551.41,5832860.84,,"",55.27,2019-05-30,"","","","","","","",28.5
DATA,HKW062-TCPT,SCP,Final,551550.91,5832868.09,,"",6.41,2019-06-02,"","","","","","","",25.0
DATA,HKW063-PCPT,SCP,Final,544410.55,5833822.2,,"",54.89,2019-05-26,"","","","","","","",30.0
DATA,HKW064-PCPT,SCP,Final,553050.46,5832171.47,,"",55.08,2019-05-28,"","","","","","","",30.0
DATA,HKW065-PCPT,SCP,Final,550008.44,5832336.96,,"",51.98,2019-05-27,"","","","","","","",26.0
DATA,HKW066-PCPT,SCP,Final,554155.77,5831555.6,,"",54.83,2019-05-28,"","","","","","","",27.0
DATA,HKW067-PCPT,SCP,Final,548162.78,5832281.27,,"",53.95,2019-05-26,"","","","","","","",29.0
DATA,HKW067-SCPT,SCP,Final,548165.61,5832281.01,,"",54.81,2019-05-30,"","","","","","","",29.0
DATA,HKW067-TCPT,SCP,Final,548161.1,5832283.32,,"",6.33,2019-06-02,"","","","","","","",29.0
DATA,HKW068-PCPT,SCP,Final,549365.67,5832053.43,,"",54.07,2019-05-27,"","","","","","","",27.0
DATA,HKW069-PCPT,SCP,Final,552901.33,5831386.32,,"",54.91,2019-05-28,"","","","","","","",29.0
DATA,HKW070-PCPT,SCP,Final,550858.89,5831368.68,,"",54.28,2019-05-21,"","","","","","","",30.0
DATA,HKW071-PCPT,SCP,Final,543688.1,5832323.62,,"",50.62,2019-05-17,"","","","","","","",28.0
DATA,HKW072-PCPT,SCP,Final,546074.92,5831868.18,,"",21.47,2019-05-16,"","","","","","","",28.0
DATA,HKW072-PCPT-B,SCP,Final,546072.0,5831865.0,,"",53.26,2019-05-16,"","","","","","","",29.0
DATA,HKW073-PCPT,SCP,Final,549977.21,5831129.01,,"",54.77,2019-05-21,"","","","","","","",25.0
DATA,HKW073-SCPT,SCP,Final,549973.83,5831125.04,,"",55.1,2019-05-30,"","","","","","","",25.5
DATA,HKW073-TCPT,SCP,Final,549974.85,5831128.08,,"",6.02,2019-06-02,"","","","","","","",25.0
DATA,HKW074-PCPT,SCP,Final,551968.32,5830742.32,,"",54.52,2019-05-27,"","","","","","","",29.0
DATA,HKW074-TCPT,SCP,Final,551961.92,5830746.19,,"",6.0,2019-06-02,"","","","","","","",29.0
DATA,HKW075-PCPT,SCP,Final,552753.49,5830594.44,,"",54.17,2019-05-28,"","","","","","","",29.5
DATA,HKW076-PCPT,SCP,Final,553507.62,5830453.13,,"",47.19,2019-05-28,"","","","","","","",27.0
